taxid,Type,Type_PS,Species,Habitat,Database,SResolution,TResolution
1000760146,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 46,Curated prophage,IMGVR,Defined,Defined
1000135401,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 5,Engineered,IMGVR,Defined,Defined
1000392661,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 6,Host-associated(plants),IMGVR,Defined,Defined
1000524180,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 7,Engineered,IMGVR,Defined,Defined
1000527642,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 8,Engineered,IMGVR,Defined,Defined
1000527818,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 9,Engineered,IMGVR,Defined,Defined
762660,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage Ac42,Reference genome,NCBI,Defined,Defined
1000738727,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage Ac42,Reference genome,IMGVR,Defined,Defined
1000738730,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage Acj9,Reference genome,IMGVR,Defined,Defined
1481186,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage vB_AbaM_Acibel004,Reference genome,NCBI,Defined,Defined
1605379,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage vB_AbaM_phiAbaA1,Reference genome,NCBI,Defined,Defined
1560342,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage YMC13/03/R2096,Reference genome,NCBI,Defined,Defined
1000738841,Acinetobacter phage,Acinetobacter phage,Acinetobacter virus 133,Reference genome,IMGVR,Defined,Defined
1000751578,Actinobacillus phage,Actinobacillus phage,Actinobacillus phage 1,Curated prophage,IMGVR,Defined,Defined
1000754294,Actinobacillus phage,Actinobacillus phage,Actinobacillus phage 2,Curated prophage,IMGVR,Defined,Defined
1000754634,Actinobacillus phage,Actinobacillus phage,Actinobacillus phage 3,Curated prophage,IMGVR,Defined,Defined
1000377947,Actinobaculum phage,Actinobaculum phage,Actinobaculum phage 1,Host-associated(human),IMGVR,Defined,Defined
1000748000,Actinokineospora phage,Actinokineospora phage,Actinokineospora phage 1,Curated prophage,IMGVR,Defined,Defined
1000299760,Actinomyces phage,Actinomyces phage,Actinomyces phage 1,Host-associated(human),IMGVR,Defined,Defined
1000379453,Actinomyces phage,Actinomyces phage,Actinomyces phage 10,Host-associated(human),IMGVR,Defined,Defined
1000384380,Actinomyces phage,Actinomyces phage,Actinomyces phage 11,Host-associated(human),IMGVR,Defined,Defined
1000529214,Actinomyces phage,Actinomyces phage,Actinomyces phage 12,Host-associated(human),IMGVR,Defined,Defined
1000589353,Actinomyces phage,Actinomyces phage,Actinomyces phage 13,Host-associated(human),IMGVR,Defined,Defined
1000606566,Actinomyces phage,Actinomyces phage,Actinomyces phage 14,Host-associated(human),IMGVR,Defined,Defined
1000683221,Actinomyces phage,Actinomyces phage,Actinomyces phage 15,Host-associated(human),IMGVR,Defined,Defined
1000686136,Actinomyces phage,Actinomyces phage,Actinomyces phage 16,Host-associated(human),IMGVR,Defined,Defined
1000700898,Actinomyces phage,Actinomyces phage,Actinomyces phage 17,Host-associated(human),IMGVR,Defined,Defined
1000747975,Actinomyces phage,Actinomyces phage,Actinomyces phage 18,Curated prophage,IMGVR,Defined,Defined
1000747976,Actinomyces phage,Actinomyces phage,Actinomyces phage 19,Curated prophage,IMGVR,Defined,Defined
1000307763,Actinomyces phage,Actinomyces phage,Actinomyces phage 2,Host-associated(human),IMGVR,Defined,Defined
